FID,OBJECTID,SHAPE,KATEGORIE_TXT,ADRESSE,FLAECHE,SPORTSTAETTEN_ART,WEBLINK1,KATEGORIE_NUM,SE_ANNO_CAD_DATA
SPORTSTAETTENOGD.11195,11195,POINT (16.385010834859933 48.18726929624586),Vereinssport outdoor,"3., Schweizergarten",2000,polysportiver Rasenplatz,https://www.wien.gv.at/freizeit/sportamt/sportstaetten/anlagen/jugendsport/schweizergarten.html,7,
SPORTSTAETTENOGD.11196,11196,POINT (16.37060394270759 48.19935037649031),Öffentlich outdoor,"4., Karlsplatz, Resselpark 5 ggü",690,polysportiver Hartplatz,https://www.wien.gv.at/umwelt/parks/anlagen/index.html,3,
SPORTSTAETTENOGD.11197,11197,POINT (16.365294277373593 48.191563520246994),Öffentlich outdoor,"4., Rubensgasse, Rubenspark 5 ggü",245,polysportiver Hartplatz,https://www.wien.gv.at/umwelt/parks/anlagen/index.html,3,
SPORTSTAETTENOGD.11198,11198,POINT (16.371462566115945 48.18679141057755),Öffentlich outdoor,"4., Schelleingasse 32",470,polysportiver Hartplatz,https://www.wien.gv.at/umwelt/parks/anlagen/index.html,3,
SPORTSTAETTENOGD.11199,11199,POINT (16.367007261700152 48.186831814133974),Öffentlich outdoor,"4., Seisgasse, Alois-Drasche-Park, 7a hinter",925,polysportiver Hartplatz,https://www.wien.gv.at/umwelt/parks/anlagen/index.html,3,
SPORTSTAETTENOGD.11200,11200,POINT (16.347454066714086 48.18717435839864),Öffentlich outdoor,"5., Am Hundsturm 18 ggü",80,"polysportiver Hartplatz, <br />Kletteranlage",https://www.wien.gv.at/umwelt/parks/anlagen/index.html,3,
SPORTSTAETTENOGD.16001,16001,POINT (16.37670762468414 48.20878542659305),Öffentlich indoor,"1., Bäckerstraße 16",500,Kletterhalle,http://www.alpenverein.at/sportklettern/kletteranlagenfinder/detail.php?kletterhalleId=82,2,
SPORTSTAETTENOGD.16002,16002,POINT (16.368866275515376 48.21340639244826),Öffentlich outdoor,"1., Börseplatz 2 ggü",136,polysportiver Hartplatz,https://www.wien.gv.at/umwelt/parks/anlagen/index.html,3,
SPORTSTAETTENOGD.16003,16003,POINT (16.36735323331112 48.2143943577976),Öffentlich outdoor,"1., Hermann-Gmeiner-Park",300,polysportiver Hartplatz,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,3,
SPORTSTAETTENOGD.16004,16004,POINT (16.37496807370613 48.21055535303616),Öffentlich indoor,"1., Rotenturmstraße 14",300,Kletterhalle,http://www.alpenverein.at/sportklettern/kletteranlagenfinder/detail.php?kletterhalleId=28,2,
SPORTSTAETTENOGD.16005,16005,POINT (16.372788965486766 48.202926308577595),Öffentlich indoor,"1., Walfischgasse 12",1000,Kletterhalle,http://www.alpenverein.at/sportklettern/kletteranlagenfinder/detail.php?kletterhalleId=16,2,
SPORTSTAETTENOGD.16006,16006,POINT (16.43411932162473 48.198369638426854),Vereinssport outdoor,"2., Ameiswiese, Unteres Heustadlwasser",105170,Reitsportanlage,http://www.reitenwien.at/,7,
SPORTSTAETTENOGD.16007,16007,POINT (16.44013864055148 48.19371362386817),Vereinssport outdoor,"2., Aspernallee 3",10630,Rasenplatz (Baseball),http://www.aibcvienna.org,7,
